,Komentar,Kategori,clean_teks
76,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",1,selamat mbak moga pribadi amin
77,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",1,meldi cantik loh tinggal dibenerin akhlak adab sip
78,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",0,ambil foto bagus mantap keren tinggal ambil arwah nya
79,"""Nggak ada cantik-cantik nya hahaha""",0,cantikcantik nya hahaha
80,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",0,kasihan editor sih nanggung dosa kayak ngeditnya offside gin
81,"""Lama lama mirip dewi persik ya""",1,dewi persik ya
82,"""pada julid padahal kan meldi gak nyusahin kalian""",1,julid meldi nyusahin
83,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",0,foto w masukin museum ya pantas
84,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",0,ngumpul bareng mami isa gembrot sana
85,"""Lagu lu ga ada yang laku ya mel??""",0,lagu laku ya mel
86,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",0,lutut hitam gosok maning biar cling cantik
87,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",1,suka heran warga suka ngehujat orang pahala dosa mah iya
88,"""Tambah cantik aja rosa meldianti""",1,cantik rosa meldianti
89,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",0,ular dugong
90,"""Saya kok suka ya sama mereka harmonis""",1,suka ya harmonis
91,"""Cantik banget kalau pakai baju kayak gitu""",1,cantik pakai baju
92,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",1,jujur ya anteng cantik mel
93,"""Cowoknya ga ada cakep cakepnya""",0,cowok cakap cakep
94,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",0,foto tirus video wariorr muka kek donat bentuk
95,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",1,sekian foto diposting cantik
96,"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",0,artis abalabal muka putih tangan hitam ager atm nya isi
97,"""Itu muka kayak penuh tekanan banget""",0,muka penuh tekan
98,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",0,rosameldianti cowok wajah nya culun cupu om
99,"""Masyaallah cantik terlihat sopan dan anggun""",1,masyaallah cantik sopan anggun
100,"""Kang ojek kali belang tangannya""",0,kang ojek kali belang tangan
101,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",1,senang liat pasang cewenya hujat indonesia setia tani
102,"""Dia memutuskan menjadi tumbal apartment""",0,putus tumbal apartemen
103,"""makin cantik mel, semangat dietnyaa""",1,cantik mel semangat dietnyaa
104,"""Itu tangan apa paha haha….""",0,tangan paha haha
105,"""Mel disini kamu keliatan cakep""",1,mel cakap
106,"""Mukanya kayak lagi ngeden pas boker""",0,muka ngeden pas boker
107,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..""",0,aduuh halu hhahaha lebay edit nyaa lemak lemak hahhaaa mimpi tinggi
108,"""salfok sama kaki, tapi cantik banget asli""",1,salfok kaki cantik asli
109,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",0,buset cantik edit mba coba asli buntel kentut
110,"""atas bawah hitam putih, kek kopi luwak""",0,hitam putih kek kopi luwak
111,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",0,palsu badane edit asli lemak
112,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",0,kontrak skincare buluk mel
113,"""heran sama netizen klo gk suka jangan diliat aja""",1,heran netizen suka liat
114,"""sukses selalu yah ka @rosameldianti_ semangat""",1,sukses yah ka rosameldianti semangat
115,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",1,jujur suka meldi suka ngehujat orang
116,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",0,sumpah asli muka lebar baskom loh mel rosameldianti
117,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",1,karya meldi walo nuntun
118,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",0,astaghfirullah seram ya bun ular jelma makhluk halus ya bun
119,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",1,heran cowok ngebully sabar meldi
120,"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",0,astaga ratu edit muka sumpah seren film setan
121,"""Matanya kayak katarak anjir AHAHAH""",0,mata katarak anjir ahahah
122,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",0,caption copas cantumin credit dasar iblis
123,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",1,unfoll dosa ngebully
124,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",1,meldi perhati orang china deh cantik
125,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",0,edit softlensnya mbak ratu titis ular wkwkwk
126,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",0,kasihan ular bawa bawa ular pantas bunglon buaya
127,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",1,maju ya sayang abai orang comment sakit
128,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",0,kasihan ya rosameldianti hidup bahan hujat masyarakat mubadzir deh hidup bunuh
129,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",1,semangat mel bahasa asing mah berani entar
130,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",0,beda foto yaa lebar muka maaf foto edit ya
131,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",1,meldi kadang mulut rem haluan bangga usaha mu yuhuuu
132,"""Lupa di edit ya tu muka melar""",0,lupa edit ya muka melar
133,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",1,semangatt salah ajar bahasa asing ajar utama salah ulang
134,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",1,kereennnn bullyan netizen jadi ajar
135,"""Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",0,hiiihhh jiik lihat nih orang aura buruk manis manis
136,"""Semangat untuk belajar ya… saya uga gak bisa bahasa inggris""",1,semangat ajar ya uga bahasa inggris
137,"""Yang penting ada niat.. dan keberanian""",1,niat berani
138,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",1,salut mel semangat ajar ngetawain berani
139,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",1,apa mel semangat ajar trusssss gampang nyerah pokok rosameldianti
140,"""Setidaknya dia ngaku. bukan belagak pintar""",1,ngaku bagak pintar
141,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",0,harap ikut kontes miss earth les inggris biar lidah keseleo
142,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",1,postingan ya bund netizen hujat
143,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",1,happy birthday mel sehat sukses yah aamiin
144,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",1,happy birthday kak meldi imut n ngegemesin sukses
145,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",0,ya ampun ketiak lemak edit parah wkwk
146,"""Ketiaknya habis di amplas mel, alus banget""",0,ketiak habis amplas mel alus
147,"""Udah diedit gitu, ketiak lu tetap hitam""",0,edit ketiak hitam
148,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",1,selamat ulang mel yah tingkah
149,"""Mukanya kuning banget kaya kunyit""",0,muka kuning kaya kunyit
150,"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",1,selamat ulang meldi sukses sehat ya
151,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",1,foto cantik ihhh biar kena hujat ihh mah kasihan
152,"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",1,happy birthday meldi moga sukses umur rejekinya lancar amin
153,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",0,asa kemarin lengan kekar kek tinju ketiak hitam foto lengan ketiak putih kek dibedakin
154,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",1,selamat ulang kak rosameldianti banyak sadar pansos yah amin
155,"""Hbd cantik semoga kedepannya tambah sukses""",1,happy birthday cantik moga depan sukses
156,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",1,happy birthday mbak mel cantik panjang umur sehat
157,"""berdiri di kaki sendiri lebih baik""",1,diri kaki
158,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",0,biar edit kaya ketiak hitam nya bohongin
159,"""Sumpah demi apapun.. Lengan nya gede banget""",0,sumpah apa lengan nya gede
160,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",0,selamat ulang umur ketemu dajjal
161,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",0,ketiak hitam buluk edit nutupin daki ketek aka hitam ketiak dasar dugong rosameldianti
162,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",0,atm tinggal ribu gaya dugong
163,"""Gak ada bagus2nya suara dan polanya….""",0,bagus suara pola
164,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",0,si meldi jelek gaya beda tante n sepupu cantik
165,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",1,ubah lihat
166,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",0,ngedit ketiak ya ngeblur pis putih kek cat tembok
167,"""Aduh dugong masih aja gila filter….""",0,aduh dugong gila filter
168,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",0,muka dempul ketiak
169,"""Kasian kebelet artis tapi gak punya bakat""",0,kasihan kebelet artis bakat
170,"""Yang merasa peliharaannya lepas, tolong diangkut""",0,pelihara lepas tolong angkut
171,"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",1,miris ultah didoain bully kasihan god bless u mel
172,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",0,mudah mudah jelek amin ya allah
173,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",0,ketiak hitam kasih bedak nya abu monyet
174,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",1,heran mah suka follow ni akun private follow ngebuli tanda nya sirik suka ya liat kaya sempurna
175,"""Gua berharap lu aja si yg sakit bukan laura lol""",0,harap si sakit laura lol
176,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",0,menderitaaa lora anj
177,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",0,gaga sempet lora tinggalin orang jahat bahagia
178,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",0,gakalo sempet sakit lora santet
179,"""Si gaga kok kek anjing""",0,si gaga kek anjing
180,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",1,semangat gaga liat belakang fokus depan muda
181,"""Gak ada cantiknya. Gila yang ada""",0,cantik gila
182,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",1,meldi sinar yaaa pertahanin karir sia siain
183,"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",1,semangat apa dalah mata benci
184,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",0,asli bebet tidur ni anak kasihan
185,"""kumat… lama semedinya segini keluarnya""",0,kumat semedinya gin keluar
186,"""Tangannya hitam… beda ama muka""",0,tangan hitam beda ama muka
187,"""Kok meldi di foto aku gendut beda""",0,meldi foto gendut beda
188,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",0,gatau sih cantik aura nya cantik idih lihat yaa
189,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",1,buruk nya buruk mata suka mu
190,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",0,gila ni siluman story orang tumpu lemak burik
191,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",0,dasar bodoh jijik bro otak
192,"""Lo kira lo bagus tuh begitu anjing wkwkw""",0,bagus tuh anjing wkwkw
193,"""Di maafin aaa… semoga dia jera untuk kedepannya…""",1,maafin aaa moga jera depan
194,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",0,eh bocah mending mati orang hahahahaha
195,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",1,btw video bohong nya pas percaya lihat tribun news hujat ya
196,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",1,okay bro kalem semangat putus asa
197,"""Lu Mati ajalah . Udah biar gak bikin ribet""",0,mati biar bikin ribet
198,"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",0,sampah masyarakat musnah
199,"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",0,mati najis kontol bangsat mati
200,"""youtuber toxic, tutup akunmu sekalian tutup usia""",0,youtuber toxic tutup akun tutup usia
201,"""Pada ribet kayak udah pada benar aja lu semua""",1,ribet
202,"""Jangan ada hitam diatas putih. Langsung proses""",1,hitam atas putih langsung proses
203,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",1,sayang anak ya serah polisi biar didik
204,"""Manusia apa hewan sih kok gak punya hati banget""",0,manusia hewan sih hati
205,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",0,manusia anjing cari uang kerja nyebokin gaji
206,"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",0,maklum anak didik akhlak
207,"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",0,anjing anak ibu nang
208,"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",0,oi babi bunuh sumpah
209,"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",0,heee sampah maafin bohong goblok
210,"""ANJING SINI LO BAKU HANTAM AYO""",0,anjing baku hantam ayo
211,"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",1,bangkit ya bang lemah ajar uji bang
212,"""Jangan patah semngat kak sukses terus""",1,patah semngat kak sukses
213,"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",1,semangat ferdian dengerin orang hujat manusia luput salah
214,"""Sumpah sekarang aku respect banget sama kamu""",1,sumpah respect
215,"""Menurutku pribadi, dia tulus minta maafnya….""",1,turut pribadi tulus maaf
216,"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",0,kasih bidadari mau boneka santet
217,"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",1,hilang respect jane setia nya main cewek pas penjara lol
218,"""Hapus ajh ni poto ngk tau malu bgt lu bang""",1,hapus ni poto malu bang
219,"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",0,inti suka ajg listy ngrusak suasana
220,"""Di foto ini ada 2 anjing dan 1 kontol""",0,foto anjing kontol
221,"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",1,kasihan jane nunggu penjara eh tahu waw sakit siih
222,"""Puny cewk baik di selingkuhin g ngotak""",0,puny cewk selingkuhin ngotak
223,"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",0,potong nya hubung nya gin sembeleh orang nya lanjur kecewa
224,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",1,konten putus foto tabi jessica hapus
225,"""Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih""",1,makan bikin ama jess ngehianatin gila sih
226,"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",1,parah bang nama rusak narkoba truss
227,"""Ini anjing Kok mirip ya sama Erick""",0,anjing ya erick
228,"""Muka Pas""an sok sok an mau sm lonte lo anjing""",0,muka pas sok sok an lonte anjing
229,"""Lu sama anjingnya, lebih baik anjingnya""",0,anjing anjing
230,"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",0,ih babi megang tuh anjing harga dripada
231,"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",1,santuy bang tanggepinbtw suka gaya
232,"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",0,narkoboy kontol main cewek sakit anjing mati bodoh
233,"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",0,penjara ajg nyusahin
234,"""cewe cakep, setia kok disia sia in sahabat""",1,cewek cakap setia sia sia in sahabat
235,"""loh kok ak liatnya anjing semua yaa""",0,loh liat anjing yaa
236,"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",0,anjing guys liat babi hitam
237,"""Mantan Anjing, eh kebalik anjing mantan""",0,mantan anjing eh balik anjing mantan
238,"""Bikin skandal karena kepengen tenar?""",1,bikin skandal tenar
239,"""Wiii anjay kapan lagi liat babi megang 2 anjing""",0,wiii anjay liat babi megang anjing
240,"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",0,foto babi peluk anjing milik nya bidadari
241,"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",0,babi pantes nyentuh anjing bidadari kotor
242,"""SESAMA ANJING FOTO DULU YA KAN""",0,anjing foto ya
243,"""potret seorjing memegang anjing kwkw""",0,potret seorjing pegang anjing kwkw
244,"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",1,heh hate nya capai baca nya
245,"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",0,aduh ganteng anjing eh eh pantes anjing anjing setia pantesnya sih babi hahahaha
246,"""kalo lomba sama""an sm babi, babi nya nmr 2""",0,lomba sama babi babi nya nomor
